Product ID,Product Name,Short Description,Lease Term,Flexi Lease,Tax Saving Plan,Renewal Cycle,Maintenance Type,Inserted Date
P1000,Mahindra Hatchback Lease Plan,"48 months hatchback lease from Mahindra with standard terms, tax saving benefits, and garage support.",48 months,No,Yes,Yearly,Garage,2024-08-03
P1001,Toyota Hatchback Lease Plan,"60 months hatchback lease from Toyota with standard terms, tax saving benefits, and roadside support.",60 months,No,Yes,Quarterly,Roadside,2025-03-10
P1002,Tata Motors Hatchback Lease Plan,"60 months hatchback lease from Tata Motors with flexible terms, no tax saving plan, and garage support.",60 months,Yes,No,Monthly,Garage,2024-12-17
P1003,Maruti Suzuki SUV Lease Plan,"12 months suv lease from Maruti Suzuki with standard terms, tax saving benefits, and roadside support.",12 months,No,Yes,Yearly,Roadside,2023-01-31
P1004,Tata Motors Hatchback Lease Plan,"12 months hatchback lease from Tata Motors with standard terms, no tax saving plan, and roadside support.",12 months,No,No,Yearly,Roadside,2024-12-21
P1005,Maruti Suzuki Hatchback Lease Plan,"12 months hatchback lease from Maruti Suzuki with standard terms, no tax saving plan, and roadside support.",12 months,No,No,Monthly,Roadside,2022-06-10
P1006,Maruti Suzuki Hatchback Lease Plan,"12 months hatchback lease from Maruti Suzuki with flexible terms, no tax saving plan, and garage support.",12 months,Yes,No,Yearly,Garage,2022-12-23
P1007,Maruti Suzuki SUV Lease Plan,"12 months suv lease from Maruti Suzuki with flexible terms, tax saving benefits, and roadside support.",12 months,Yes,Yes,Monthly,Roadside,2024-03-13
P1008,Tata Motors Sedan Lease Plan,"60 months sedan lease from Tata Motors with standard terms, no tax saving plan, and garage support.",60 months,No,No,Quarterly,Garage,2022-01-03
P1009,Mahindra SUV Lease Plan,"12 months suv lease from Mahindra with standard terms, no tax saving plan, and garage support.",12 months,No,No,Quarterly,Garage,2024-07-22
P1010,Hyundai Sedan Lease Plan,"48 months sedan lease from Hyundai with flexible terms, no tax saving plan, and garage support.",48 months,Yes,No,Quarterly,Garage,2023-08-17
P1011,Hyundai Sedan Lease Plan,"48 months sedan lease from Hyundai with standard terms, no tax saving plan, and roadside support.",48 months,No,No,Quarterly,Roadside,2024-01-20
P1012,Honda Hatchback Lease Plan,"36 months hatchback lease from Honda with standard terms, tax saving benefits, and garage support.",36 months,No,Yes,Yearly,Garage,2024-12-04
P1013,Hyundai SUV Lease Plan,"12 months suv lease from Hyundai with flexible terms, no tax saving plan, and garage support.",12 months,Yes,No,Monthly,Garage,2025-03-21
