Summary,Contract ID,Customer ID,Vehicle ID,Product ID
"Contract C0001 for 1020 leasing Vehicle V1007 under Product P1009 with a monthly EMI of €64765.31. Lease runs from 2024-09-09 to 2028-09-09. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0001,1020,V1007,P1009
"Contract C0002 for 1011 leasing Vehicle V1035 under Product P1007 with a monthly EMI of €68014.12. Lease runs from 2022-12-21 to 2026-12-21. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0002,1011,V1035,P1007
"Contract C0003 for 1010 leasing Vehicle V1044 under Product P1016 with a monthly EMI of €26548.61. Lease runs from 2023-06-24 to 2025-06-24. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0003,1010,V1044,P1016
"Contract C0004 for 1005 leasing Vehicle V1024 under Product P1011 with a monthly EMI of €46098.39. Lease runs from 2024-12-24 to 2028-12-24. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0004,1005,V1024,P1011
"Contract C0005 for 1018 leasing Vehicle V1043 under Product P1005 with a monthly EMI of €22896.99. Lease runs from 2022-09-22 to 2026-09-22. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0005,1018,V1043,P1005
"Contract C0006 for 1020 leasing Vehicle V1020 under Product P1000 with a monthly EMI of €37436.63. Lease runs from 2025-01-06 to 2028-01-06. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0006,1020,V1020,P1000
"Contract C0007 for 1014 leasing Vehicle V1005 under Product P1006 with a monthly EMI of €66356.76. Lease runs from 2025-03-08 to 2027-03-08. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0007,1014,V1005,P1006
"Contract C0008 for 1017 leasing Vehicle V1037 under Product P1019 with a monthly EMI of €46040.54. Lease runs from 2024-03-31 to 2026-03-31. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0008,1017,V1037,P1019
"Contract C0009 for 1009 leasing Vehicle V1007 under Product P1007 with a monthly EMI of €68912.59. Lease runs from 2023-01-27 to 2027-01-27. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0009,1009,V1007,P1007
"Contract C0010 for 1002 leasing Vehicle V1023 under Product P1015 with a monthly EMI of €34869.58. Lease runs from 2023-02-12 to 2027-02-12. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0010,1002,V1023,P1015
"Contract C0011 for 1018 leasing Vehicle V1033 under Product P1013 with a monthly EMI of €800.05. Lease runs from 2025-06-03 to 2026-06-03. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0011,1018,V1033,P1013
"Contract C0012 for 1010 leasing Vehicle V1040 under Product P1012 with a monthly EMI of €1025.05. Lease runs from 2023-07-18 to 2024-07-18. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0012,1010,V1040,P1012
"Contract C0013 for 1016 leasing Vehicle V1075 under Product P1019 with a monthly EMI of €51002.51. Lease runs from 2025-04-11 to 2027-04-11. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0013,1016,V1075,P1019
"Contract C0014 for 1003 leasing Vehicle V1061 under Product P1000 with a monthly EMI of €74638.52. Lease runs from 2024-05-31 to 2027-05-31. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0014,1003,V1061,P1000
"Contract C0015 for 1006 leasing Vehicle V1005 under Product P1012 with a monthly EMI of €950.28. Lease runs from 2025-02-22 to 2026-02-22. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0015,1006,V1005,P1012
"Contract C0016 for 1015 leasing Vehicle V1004 under Product P1016 with a monthly EMI of €30267.66. Lease runs from 2025-08-23 to 2027-08-23. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0016,1015,V1004,P1016
"Contract C0017 for 1003 leasing Vehicle V1038 under Product P1003 with a monthly EMI of €41582.35. Lease runs from 2025-02-18 to 2027-02-18. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0017,1003,V1038,P1003
"Contract C0018 for 1019 leasing Vehicle V1041 under Product P1006 with a monthly EMI of €72196.55. Lease runs from 2024-05-16 to 2026-05-16. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0018,1019,V1041,P1006
"Contract C0019 for 1015 leasing Vehicle V1022 under Product P1003 with a monthly EMI of €22440.86. Lease runs from 2024-08-18 to 2026-08-18. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0019,1015,V1022,P1003
"Contract C0020 for 1009 leasing Vehicle V1050 under Product P1000 with a monthly EMI of €73476.12. Lease runs from 2024-09-18 to 2027-09-18. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0020,1009,V1050,P1000
"Contract C0021 for 1010 leasing Vehicle V1031 under Product P1014 with a monthly EMI of €1035.9. Lease runs from 2023-06-07 to 2024-06-07. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0021,1010,V1031,P1014
"Contract C0022 for 1002 leasing Vehicle V1059 under Product P1000 with a monthly EMI of €59388.81. Lease runs from 2023-12-05 to 2026-12-05. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0022,1002,V1059,P1000
