Summary,Contract ID,Customer ID,Vehicle ID,Product ID
"Contract 1: Lease of Vehicle V4073 under Product P2032 with Lease Start Date: 2023-12-09, Lease Expiry Date: 2027-11-18, for 48 months, EMI 914 USD, Road Assistance: yes, Maintenance: no, Existing Customer: yes, Discount Applied: no, Preferred Customer: no",1,1745,V4073,P2032
"Contract 2: Lease of Vehicle V4083 under Product P2001 with Lease Start Date: 2025-03-17, Lease Expiry Date: 2028-03-01, for 36 months, EMI 633 USD, Road Assistance: no, Maintenance: no, Existing Customer: yes, Discount Applied: no, Preferred Customer: yes",2,1979,V4083,P2001
"Contract 3: Lease of Vehicle V4034 under Product P2006 with Lease Start Date: 2025-06-22, Lease Expiry Date: 2026-06-17, for 12 months, EMI 909 USD, Road Assistance: yes, Maintenance: no, Existing Customer: no, Discount Applied: no, Preferred Customer: no",3,2780,V4034,P2006
"Contract 4: Lease of Vehicle V4045 under Product P2025 with Lease Start Date: 2024-05-29, Lease Expiry Date: 2028-05-08, for 48 months, EMI 313 USD, Road Assistance: yes, Maintenance: yes, Existing Customer: no, Discount Applied: no, Preferred Customer: no",4,4560,V4045,P2025
"Contract 5: Lease of Vehicle V4052 under Product P2043 with Lease Start Date: 2024-01-23, Lease Expiry Date: 2026-01-12, for 24 months, EMI 837 USD, Road Assistance: no, Maintenance: no, Existing Customer: no, Discount Applied: no, Preferred Customer: no",5,3994,V4052,P2043
"Contract 6: Lease of Vehicle V4081 under Product P2040 with Lease Start Date: 2025-06-07, Lease Expiry Date: 2028-05-22, for 36 months, EMI 386 USD, Road Assistance: yes, Maintenance: no, Existing Customer: no, Discount Applied: no, Preferred Customer: no",6,4818,V4081,P2040
"Contract 7: Lease of Vehicle V4083 under Product P2018 with Lease Start Date: 2023-12-01, Lease Expiry Date: 2026-11-15, for 36 months, EMI 800 USD, Road Assistance: no, Maintenance: yes, Existing Customer: no, Discount Applied: no, Preferred Customer: no",7,4238,V4083,P2018
"Contract 8: Lease of Vehicle V4071 under Product P2048 with Lease Start Date: 2023-10-22, Lease Expiry Date: 2024-10-16, for 12 months, EMI 788 USD, Road Assistance: no, Maintenance: no, Existing Customer: no, Discount Applied: no, Preferred Customer: no",8,3209,V4071,P2048
"Contract 9: Lease of Vehicle V4064 under Product P2045 with Lease Start Date: 2025-03-12, Lease Expiry Date: 2026-03-07, for 12 months, EMI 986 USD, Road Assistance: yes, Maintenance: no, Existing Customer: no, Discount Applied: no, Preferred Customer: no",9,4450,V4064,P2045
"Contract 10: Lease of Vehicle V4034 under Product P2049 with Lease Start Date: 2024-06-08, Lease Expiry Date: 2028-05-18, for 48 months, EMI 689 USD, Road Assistance: no, Maintenance: yes, Existing Customer: yes, Discount Applied: no, Preferred Customer: yes",10,1867,V4034,P2049
"Contract 11: Lease of Vehicle V4013 under Product P2047 with Lease Start Date: 2025-07-20, Lease Expiry Date: 2028-07-04, for 36 months, EMI 968 USD, Road Assistance: no, Maintenance: yes, Existing Customer: yes, Discount Applied: no, Preferred Customer: no",11,1398,V4013,P2047
"Contract 12: Lease of Vehicle V4096 under Product P2039 with Lease Start Date: 2025-05-28, Lease Expiry Date: 2026-05-23, for 12 months, EMI 444 USD, Road Assistance: no, Maintenance: no, Existing Customer: yes, Discount Applied: yes, Preferred Customer: no",12,1543,V4096,P2039
