Product ID,Product Name,Short Description,Lease Term,Flexi Lease,Tax Saving Plan,Renewal Cycle,Maintenance Type,Inserted Date,Summary
P1000,Corporate Saver,"Business-focused lease offering tax deductions, bundled insurance, and priority servicing. Lease term is 36 months, renewal is annual.",36,No,Yes,Annual,Garage,2025-01-29,"Corporate Saver, 36 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
P1001,Value Lease,"Affordable leasing for small cars with lower monthly costs and basic maintenance. Lease term is 24 months, renewal is bi-annual.",24,No,No,Bi-Annual,Garage,2024-09-08,"Value Lease, 24 months, Flexi: No, Tax Saving: No, Renewal: Bi-Annual, Maintenance: Garage"
P1002,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 36 months, renewal is annual.",36,No,No,Annual,Garage,2025-04-02,"Dynamic Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1003,Eco Mobility,"Green lease plan for EVs and hybrids, including charging and maintenance support. Lease term is 24 months, renewal is bi-annual.",24,Yes,Yes,Bi-Annual,Roadside,2025-02-10,"Eco Mobility, 24 months, Flexi: Yes, Tax Saving: Yes, Renewal: Bi-Annual, Maintenance: Roadside"
P1004,Corporate Saver,"Business-focused lease offering tax deductions, bundled insurance, and priority servicing. Lease term is 12 months, renewal is quarterly.",12,No,Yes,Quarterly,Garage,2025-04-13,"Corporate Saver, 12 months, Flexi: No, Tax Saving: Yes, Renewal: Quarterly, Maintenance: Garage"
P1005,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 48 months, renewal is annual.",48,No,No,Annual,Garage,2024-12-25,"Dynamic Lease, 48 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1006,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 24 months, renewal is bi-annual.",24,Yes,No,Bi-Annual,Roadside,2025-05-29,"Dynamic Lease, 24 months, Flexi: Yes, Tax Saving: No, Renewal: Bi-Annual, Maintenance: Roadside"
P1007,Eco Mobility,"Green lease plan for EVs and hybrids, including charging and maintenance support. Lease term is 48 months, renewal is annual.",48,No,Yes,Annual,Garage,2024-09-28,"Eco Mobility, 48 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
P1008,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 24 months, renewal is annual.",24,Yes,No,Annual,Roadside,2025-08-19,"Dynamic Lease, 24 months, Flexi: Yes, Tax Saving: No, Renewal: Annual, Maintenance: Roadside"
P1009,FamilyRide Lease,"Designed for family cars with long-term stability, garage maintenance, and roadside cover. Lease term is 48 months, renewal is annual.",48,No,No,Annual,Garage,2024-11-02,"FamilyRide Lease, 48 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1010,Corporate Saver,"Business-focused lease offering tax deductions, bundled insurance, and priority servicing. Lease term is 12 months, renewal is quarterly.",12,No,Yes,Quarterly,Garage,2024-07-28,"Corporate Saver, 12 months, Flexi: No, Tax Saving: Yes, Renewal: Quarterly, Maintenance: Garage"
P1011,Value Lease,"Affordable leasing for small cars with lower monthly costs and basic maintenance. Lease term is 48 months, renewal is annual.",48,No,No,Annual,Garage,2024-08-14,"Value Lease, 48 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1012,Standard Lease,"A predictable monthly payment plan for everyday drivers with full maintenance included. Lease term is 12 months, renewal is quarterly.",12,No,No,Quarterly,Garage,2024-03-22,"Standard Lease, 12 months, Flexi: No, Tax Saving: No, Renewal: Quarterly, Maintenance: Garage"
P1013,Eco Mobility,"Green lease plan for EVs and hybrids, including charging and maintenance support. Lease term is 12 months, renewal is quarterly.",12,Yes,Yes,Quarterly,Roadside,2024-05-19,"Eco Mobility, 12 months, Flexi: Yes, Tax Saving: Yes, Renewal: Quarterly, Maintenance: Roadside"
P1014,Corporate Saver,"Business-focused lease offering tax deductions, bundled insurance, and priority servicing. Lease term is 12 months, renewal is quarterly.",12,No,Yes,Quarterly,Garage,2024-03-26,"Corporate Saver, 12 months, Flexi: No, Tax Saving: Yes, Renewal: Quarterly, Maintenance: Garage"
P1015,Premium EV Lease,"Exclusive EV lease with charging benefits, subsidies, and zero-emission perks. Lease term is 48 months, renewal is annual.",48,No,Yes,Annual,Garage,2024-07-22,"Premium EV Lease, 48 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
P1016,Premium EV Lease,"Exclusive EV lease with charging benefits, subsidies, and zero-emission perks. Lease term is 24 months, renewal is bi-annual.",24,Yes,Yes,Bi-Annual,Roadside,2024-03-14,"Premium EV Lease, 24 months, Flexi: Yes, Tax Saving: Yes, Renewal: Bi-Annual, Maintenance: Roadside"
P1017,Value Lease,"Affordable leasing for small cars with lower monthly costs and basic maintenance. Lease term is 48 months, renewal is annual.",48,No,No,Annual,Garage,2025-02-01,"Value Lease, 48 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1018,Corporate Saver,"Business-focused lease offering tax deductions, bundled insurance, and priority servicing. Lease term is 48 months, renewal is annual.",48,No,Yes,Annual,Garage,2025-04-03,"Corporate Saver, 48 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
P1019,Corporate Saver,"Business-focused lease offering tax deductions, bundled insurance, and priority servicing. Lease term is 24 months, renewal is annual.",24,No,Yes,Annual,Garage,2025-02-09,"Corporate Saver, 24 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
