Product ID,Product Name,Short Description,Lease Term,Flexi Lease,Tax Saving Plan,Renewal Cycle,Maintenance Type,Inserted Date,Summary
P1000,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 48 months, renewal is annual.",48,No,No,Annual,Garage,2025-06-28,"Dynamic Lease, 48 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1001,Standard Lease,"A predictable monthly payment plan for everyday drivers with full maintenance included. Lease term is 12 months, renewal is quarterly.",12,No,No,Quarterly,Garage,2024-09-19,"Standard Lease, 12 months, Flexi: No, Tax Saving: No, Renewal: Quarterly, Maintenance: Garage"
P1002,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 12 months, renewal is quarterly.",12,Yes,No,Quarterly,Roadside,2024-05-26,"Dynamic Lease, 12 months, Flexi: Yes, Tax Saving: No, Renewal: Quarterly, Maintenance: Roadside"
P1003,Corporate Saver,"Business-focused lease offering tax deductions, bundled insurance, and priority servicing. Lease term is 48 months, renewal is annual.",48,No,Yes,Annual,Garage,2025-06-01,"Corporate Saver, 48 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
P1004,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 12 months, renewal is quarterly.",12,Yes,No,Quarterly,Roadside,2025-07-03,"Dynamic Lease, 12 months, Flexi: Yes, Tax Saving: No, Renewal: Quarterly, Maintenance: Roadside"
P1005,Eco Mobility,"Green lease plan for EVs and hybrids, including charging and maintenance support. Lease term is 48 months, renewal is annual.",48,No,Yes,Annual,Garage,2025-02-20,"Eco Mobility, 48 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
P1006,Eco Mobility,"Green lease plan for EVs and hybrids, including charging and maintenance support. Lease term is 36 months, renewal is annual.",36,No,Yes,Annual,Garage,2024-11-06,"Eco Mobility, 36 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
P1007,Standard Lease,"A predictable monthly payment plan for everyday drivers with full maintenance included. Lease term is 48 months, renewal is annual.",48,No,No,Annual,Garage,2025-03-28,"Standard Lease, 48 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1008,FamilyRide Lease,"Designed for family cars with long-term stability, garage maintenance, and roadside cover. Lease term is 36 months, renewal is annual.",36,No,No,Annual,Garage,2024-10-17,"FamilyRide Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1009,Premium EV Lease,"Exclusive EV lease with charging benefits, subsidies, and zero-emission perks. Lease term is 12 months, renewal is quarterly.",12,Yes,Yes,Quarterly,Roadside,2024-12-25,"Premium EV Lease, 12 months, Flexi: Yes, Tax Saving: Yes, Renewal: Quarterly, Maintenance: Roadside"
P1010,Premium EV Lease,"Exclusive EV lease with charging benefits, subsidies, and zero-emission perks. Lease term is 36 months, renewal is annual.",36,No,Yes,Annual,Garage,2025-03-02,"Premium EV Lease, 36 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage"
P1011,Value Lease,"Affordable leasing for small cars with lower monthly costs and basic maintenance. Lease term is 36 months, renewal is annual.",36,No,No,Annual,Garage,2024-09-27,"Value Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1012,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 24 months, renewal is bi-annual.",24,Yes,No,Bi-Annual,Roadside,2025-03-18,"Dynamic Lease, 24 months, Flexi: Yes, Tax Saving: No, Renewal: Bi-Annual, Maintenance: Roadside"
P1013,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 36 months, renewal is annual.",36,No,No,Annual,Garage,2024-08-28,"Dynamic Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1014,Standard Lease,"A predictable monthly payment plan for everyday drivers with full maintenance included. Lease term is 24 months, renewal is bi-annual.",24,No,No,Bi-Annual,Garage,2025-02-17,"Standard Lease, 24 months, Flexi: No, Tax Saving: No, Renewal: Bi-Annual, Maintenance: Garage"
P1015,Eco Mobility,"Green lease plan for EVs and hybrids, including charging and maintenance support. Lease term is 12 months, renewal is quarterly.",12,Yes,Yes,Quarterly,Roadside,2024-03-07,"Eco Mobility, 12 months, Flexi: Yes, Tax Saving: Yes, Renewal: Quarterly, Maintenance: Roadside"
P1016,Value Lease,"Affordable leasing for small cars with lower monthly costs and basic maintenance. Lease term is 24 months, renewal is bi-annual.",24,No,No,Bi-Annual,Garage,2025-02-20,"Value Lease, 24 months, Flexi: No, Tax Saving: No, Renewal: Bi-Annual, Maintenance: Garage"
P1017,Dynamic Lease,"Flexible lease with upgrade or exit options after mid-term, ideal for dynamic users. Lease term is 36 months, renewal is annual.",36,No,No,Annual,Garage,2024-09-07,"Dynamic Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1018,Value Lease,"Affordable leasing for small cars with lower monthly costs and basic maintenance. Lease term is 36 months, renewal is annual.",36,No,No,Annual,Garage,2024-12-07,"Value Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
P1019,Standard Lease,"A predictable monthly payment plan for everyday drivers with full maintenance included. Lease term is 36 months, renewal is annual.",36,No,No,Annual,Garage,2024-03-14,"Standard Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage"
